lost,cell, sfn,sf, bbUeRef, rnti, mode,modul,mcs1,mcs2, prb,ndf1,ndf2,   tbs1,   tbs2, assBits,harq,cqi,ri,pucchPwr,puschPwr, sinr,dtx,modulation,mcs,prb,bler,    tbs,sr,    bsr,harq, 
    ,  3 , 841, 6, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,18026336,    ,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 6, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        , A A,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 6, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    ,   ,  , -114.1 ,     .  ,   8 ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 6, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        , A A,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 6, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    ,   ,  , -114.1 ,     .  ,   8 ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 9, 3000860,13487, Mimo,64QAM,    ,    , 50 ,  Y ,  Y , 36696 , 36696 ,        ,    ,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 9, 3000860,13487,     ,64QAM, 28 , 28 , 50 ,    ,    , 36696 , 36696 ,        ,    ,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 7, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,18030392,    ,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 7, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        , A A,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 7, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    ,   ,  , -114.4 ,     .  ,   8 ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 7, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        , A A,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 7, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    ,   ,  , -114.4 ,     .  ,   8 ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 6, 3000860,13487,     ,64QAM, 28 , 28 ,    ,  Y ,  Y , 36696 , 36696 ,17914656,    ,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 7, 3000860,13487,     ,64QAM, 28 , 28 ,    ,  Y ,  Y , 36696 , 36696 ,17929760,    ,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 8, 3000860,13487,     ,64QAM, 28 , 28 ,    ,  Y ,  Y , 36696 , 36696 ,17922768,    ,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 9, 3000860,13487,     ,64QAM, 28 , 28 ,    ,  Y ,  Y , 36696 , 36696 ,17937880,    ,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 842, 0, 3000860,13487, Mimo,64QAM,    ,    , 50 ,  Y ,  Y , 36696 , 36696 ,        ,    ,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 842, 0, 3000860,13487,     ,64QAM, 28 , 28 , 50 ,    ,    , 36696 , 36696 ,        ,    ,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 8, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,18045496,    ,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 8, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        , A A,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 8, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    ,   ,  , -114.6 ,     .  ,   7 ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 8, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        , A A,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 8, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    ,   ,  , -114.6 ,     .  ,   7 ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 842, 5, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    ,   ,  ,     .  ,     .  ,     ,   ,    16QAM ,   , 2 ,    ,   776 ,  ,       ,    ,
    ,  3 , 842, 1, 3000860,13487, Mimo,64QAM,    ,    , 50 ,  Y ,  Y , 36696 , 36696 ,        ,    ,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 842, 1, 3000860,13487,     ,64QAM, 28 , 28 , 50 ,    ,    , 36696 , 36696 ,        ,    ,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 9, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,18049560,    ,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 9, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        , A A,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 9, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    ,   ,  , -114.7 ,     .  ,   7 ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 9, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        , A A,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 9, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    ,   ,  , -114.7 ,     .  ,   7 ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 842, 2, 3000860,13487, Mimo,64QAM,    ,    , 50 ,  Y ,  Y , 36696 , 36696 ,        ,    ,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 842, 2, 3000860,13487,     ,64QAM, 28 , 28 , 50 ,    ,    , 36696 , 36696 ,        ,    ,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 842, 0, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,18064664,    ,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 842, 0, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        , A A,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 842, 0, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    ,   ,  , -114.1 ,     .  ,   8 ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 842, 0, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        , A A,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 842, 0, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    ,   ,  , -114.1 ,     .  ,   8 ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
