lost|cell|sfn |sf|bbUeRef |rnti |mode |modul|mcs1|mcs2|prb |rbaType|ndf1|bler1|ndf2|bler2|tbs1   |tbs2   |tbsSum |tbsAvg   |rv1|rv2|rateBitSum|codeRate|assBits |harq|procId|bundl|cqi|ri|
    |  3 | 842| 2| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18072784| A A|    7 |     |   |  |
  2 |  * | 842| 3|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 842| 3| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18102696| A A|    6 |     |   |  |
    |  3 | 842| 4| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18106752| A A|    5 |     |   |  |
    |  2 | 842| 5|    SIB |65535|     | QPSK|  4 |    |  2 |       |  N |     |    |     |   120 |       |   120 |         | 2 |   |      576 |   0.21 |        |    |      |     |   |  |
    |  3 | 842| 5| 3000860|13487| Mimo|64QAM| 27 | 27 | 48 |     0 |  Y |     |  Y |     | 29296 | 29296 | 58592 |         | 0 | 0 |    72720 |   0.81 |18110808| A A|   63 |  15 | 15| 2|
    |  3 | 842| 5|    SIB |65535|     | QPSK|  4 |    |  2 |       |  N |     |    |     |   120 |       |   120 |         | 2 |   |      792 |   0.15 |        |    |      |     |   |  |
  2 |  * | 842| 6|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 842| 6| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18125920| A A|    3 |     |   |  |
    |  3 | 842| 7| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18129976| A A|    2 |     |   |  |
    |  3 | 842| 8| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18145088| A A|    1 |     |   |  |
    |  3 | 842| 9| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18149144| A A|    0 |     |   |  |
  2 |  * | 843| 0|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 843| 0| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    81504 |   0.90 |18153200| A A|    7 |     |   |  |
    |  3 | 843| 1| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18168312| A A|    6 |     |   |  |
