lost|cell|sfn |sf|bbUeRef |rnti |pucchPwr|puschPwr|gain|puschTpc|sinr |dtx|modulation|mcs|prb|prbSt|prbEn|ndf|bler|tbs    |sr|bsr    |phr|pucchIntNoisePower|puschIntNoisePower|harq|procId|
    |  3 | 845| 0| 3000860|13487| -114.6 |        |    |        |   7 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
  2 |  * | 845| 1|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 845| 1| 3000860|13487| -114.3 |        |    |        |   9 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 845| 2| 3000860|13487| -114.6 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 845| 3| 3000860|13487| -114.9 |        |    |        |   7 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 845| 4| 3000860|13487| -114.2 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 845| 5| 3000860|13487|        |  -96.5 |    |        |  26 | N |    16QAM |   | 2 |  46 |  47 | Y |    |   776 |  |     0 |   |                  |                  | ACK|    7 |
  2 |  * | 845| 6|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 845| 6| 3000860|13487| -114.6 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 845| 7| 3000860|13487| -114.4 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 845| 8| 3000860|13487| -114.5 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
  2 |  * | 845| 9|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 846| 5| 3000860|13487|        |        |    |        |     |   |    16QAM |   | 2 |  46 |  47 | Y |    |   776 |  |       |   |                  |                  |    |    1 |
 667|  * | 873| 5|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 873| 5| 3000860|13487|        |  -96.7 |    |        |  26 | N |          |   | 2 |  46 |  47 |   |    |       |  |     0 |   |                  |                  | ACK|    7 |
    |  3 | 873| 6| 3000860|13487| -114.2 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |SR|       |   |                  |                  |    |      |
3401|  * | 873| 7|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 873| 7| 3000860|13487| -114.6 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
  4 |  * | 873| 8|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 873| 8| 3000860|13487| -114.4 |        |    |        |   7 |   |          | 23| 2 |  46 |     |   |    |  1000 |  |       |   |                  |                  |    |      |
  2 |  * | 873| 9|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
